# Damage profile converted from mapDamage output
# Source: double_stranded/misincorporation.txt
# Format: end position from_base to_base frequency
end	position	from	to	frequency
5p	1	C	T	0.040692
5p	1	G	A	0.005778
5p	2	C	T	0.011153
5p	2	G	A	0.004106
5p	3	C	T	0.008208
5p	3	G	A	0.004118
5p	4	C	T	0.006836
5p	4	G	A	0.004111
5p	5	C	T	0.006086
5p	5	G	A	0.003569
5p	6	C	T	0.005419
5p	6	G	A	0.003196
5p	7	C	T	0.005286
5p	7	G	A	0.003653
5p	8	C	T	0.004763
5p	8	G	A	0.004126
5p	9	C	T	0.004405
5p	9	G	A	0.004230
5p	10	C	T	0.004632
5p	10	G	A	0.003926
5p	11	C	T	0.004129
5p	11	G	A	0.003287
5p	12	C	T	0.004589
5p	12	G	A	0.003970
5p	13	C	T	0.004007
5p	13	G	A	0.003734
5p	14	C	T	0.004115
5p	14	G	A	0.003780
5p	15	C	T	0.004323
5p	15	G	A	0.003824
5p	16	C	T	0.004061
5p	16	G	A	0.004042
5p	17	C	T	0.003761
5p	17	G	A	0.003674
5p	18	C	T	0.004143
5p	18	G	A	0.003442
5p	19	C	T	0.004123
5p	19	G	A	0.003761
5p	20	C	T	0.004080
5p	20	G	A	0.003197
5p	21	C	T	0.004139
5p	21	G	A	0.003740
5p	22	C	T	0.003402
5p	22	G	A	0.004076
5p	23	C	T	0.003804
5p	23	G	A	0.003977
5p	24	C	T	0.003750
5p	24	G	A	0.004034
5p	25	C	T	0.003978
5p	25	G	A	0.003840
5p	26	C	T	0.003664
5p	26	G	A	0.003721
5p	27	C	T	0.003417
5p	27	G	A	0.003974
5p	28	C	T	0.004088
5p	28	G	A	0.004140
5p	29	C	T	0.003931
5p	29	G	A	0.004618
5p	30	C	T	0.003646
5p	30	G	A	0.004411
5p	31	C	T	0.004305
5p	31	G	A	0.006274
5p	32	C	T	0.003656
5p	32	G	A	0.006643
5p	33	C	T	0.003943
5p	33	G	A	0.006312
5p	34	C	T	0.004013
5p	34	G	A	0.006456
5p	35	C	T	0.003953
5p	35	G	A	0.007138
5p	36	C	T	0.003901
5p	36	G	A	0.006911
5p	37	C	T	0.004877
5p	37	G	A	0.007017
5p	38	C	T	0.003608
5p	38	G	A	0.006729
5p	39	C	T	0.004262
5p	39	G	A	0.006218
5p	40	C	T	0.003964
5p	40	G	A	0.007056
5p	41	C	T	0.004149
5p	41	G	A	0.006964
5p	42	C	T	0.004356
5p	42	G	A	0.006961
5p	43	C	T	0.004230
5p	43	G	A	0.007206
5p	44	C	T	0.003439
5p	44	G	A	0.007189
5p	45	C	T	0.004090
5p	45	G	A	0.006108
5p	46	C	T	0.003941
5p	46	G	A	0.007147
5p	47	C	T	0.003584
5p	47	G	A	0.006391
5p	48	C	T	0.004001
5p	48	G	A	0.006812
5p	49	C	T	0.003755
5p	49	G	A	0.007230
5p	50	C	T	0.003969
5p	50	G	A	0.006500
5p	51	C	T	0.003628
5p	51	G	A	0.007741
5p	52	C	T	0.003779
5p	52	G	A	0.007428
5p	53	C	T	0.004298
5p	53	G	A	0.007496
5p	54	C	T	0.004335
5p	54	G	A	0.007941
5p	55	C	T	0.004111
5p	55	G	A	0.007070
5p	56	C	T	0.003851
5p	56	G	A	0.009043
5p	57	C	T	0.003837
5p	57	G	A	0.007286
5p	58	C	T	0.004662
5p	58	G	A	0.007730
5p	59	C	T	0.002943
5p	59	G	A	0.007583
5p	60	C	T	0.004296
5p	60	G	A	0.006810
5p	61	C	T	0.004016
5p	61	G	A	0.006916
5p	62	C	T	0.004161
5p	62	G	A	0.006360
5p	63	C	T	0.004033
5p	63	G	A	0.006845
5p	64	C	T	0.003750
5p	64	G	A	0.007103
5p	65	C	T	0.004056
5p	65	G	A	0.007446
5p	66	C	T	0.004024
5p	66	G	A	0.007433
5p	67	C	T	0.004839
5p	67	G	A	0.008316
5p	68	C	T	0.004078
5p	68	G	A	0.006050
5p	69	C	T	0.004147
5p	69	G	A	0.009132
5p	70	C	T	0.002385
5p	70	G	A	0.008051
3p	1	C	T	0.005481
3p	1	G	A	0.040570
3p	2	C	T	0.004174
3p	2	G	A	0.010772
3p	3	C	T	0.003904
3p	3	G	A	0.008205
3p	4	C	T	0.004196
3p	4	G	A	0.006658
3p	5	C	T	0.003515
3p	5	G	A	0.006189
3p	6	C	T	0.003962
3p	6	G	A	0.005735
3p	7	C	T	0.003623
3p	7	G	A	0.004863
3p	8	C	T	0.003973
3p	8	G	A	0.005145
3p	9	C	T	0.003778
3p	9	G	A	0.004635
3p	10	C	T	0.003841
3p	10	G	A	0.004494
3p	11	C	T	0.003511
3p	11	G	A	0.004067
3p	12	C	T	0.003666
3p	12	G	A	0.004116
3p	13	C	T	0.003641
3p	13	G	A	0.003940
3p	14	C	T	0.003378
3p	14	G	A	0.004089
3p	15	C	T	0.003805
3p	15	G	A	0.003675
3p	16	C	T	0.003886
3p	16	G	A	0.004353
3p	17	C	T	0.003731
3p	17	G	A	0.004174
3p	18	C	T	0.003689
3p	18	G	A	0.004264
3p	19	C	T	0.003775
3p	19	G	A	0.004047
3p	20	C	T	0.003460
3p	20	G	A	0.003897
3p	21	C	T	0.003912
3p	21	G	A	0.003969
3p	22	C	T	0.004001
3p	22	G	A	0.004110
3p	23	C	T	0.003846
3p	23	G	A	0.003769
3p	24	C	T	0.003938
3p	24	G	A	0.003746
3p	25	C	T	0.003924
3p	25	G	A	0.003739
3p	26	C	T	0.004099
3p	26	G	A	0.003391
3p	27	C	T	0.003920
3p	27	G	A	0.003891
3p	28	C	T	0.004671
3p	28	G	A	0.004245
3p	29	C	T	0.004169
3p	29	G	A	0.004476
3p	30	C	T	0.004994
3p	30	G	A	0.003663
3p	31	C	T	0.006092
3p	31	G	A	0.004615
3p	32	C	T	0.006074
3p	32	G	A	0.003962
3p	33	C	T	0.006294
3p	33	G	A	0.003837
3p	34	C	T	0.006162
3p	34	G	A	0.004043
3p	35	C	T	0.006480
3p	35	G	A	0.004392
3p	36	C	T	0.007008
3p	36	G	A	0.003949
3p	37	C	T	0.006182
3p	37	G	A	0.003899
3p	38	C	T	0.006593
3p	38	G	A	0.004020
3p	39	C	T	0.006866
3p	39	G	A	0.003708
3p	40	C	T	0.006309
3p	40	G	A	0.003460
3p	41	C	T	0.006362
3p	41	G	A	0.004110
3p	42	C	T	0.007526
3p	42	G	A	0.003747
3p	43	C	T	0.007052
3p	43	G	A	0.004406
3p	44	C	T	0.006621
3p	44	G	A	0.004233
3p	45	C	T	0.006795
3p	45	G	A	0.004261
3p	46	C	T	0.006826
3p	46	G	A	0.003811
3p	47	C	T	0.006951
3p	47	G	A	0.004438
3p	48	C	T	0.006664
3p	48	G	A	0.003631
3p	49	C	T	0.007804
3p	49	G	A	0.004345
3p	50	C	T	0.006622
3p	50	G	A	0.003951
3p	51	C	T	0.007811
3p	51	G	A	0.003508
3p	52	C	T	0.006928
3p	52	G	A	0.003896
3p	53	C	T	0.007062
3p	53	G	A	0.004823
3p	54	C	T	0.007960
3p	54	G	A	0.003957
3p	55	C	T	0.006905
3p	55	G	A	0.003997
3p	56	C	T	0.006713
3p	56	G	A	0.004142
3p	57	C	T	0.006036
3p	57	G	A	0.003426
3p	58	C	T	0.006943
3p	58	G	A	0.005224
3p	59	C	T	0.006812
3p	59	G	A	0.004088
3p	60	C	T	0.006913
3p	60	G	A	0.003983
3p	61	C	T	0.007125
3p	61	G	A	0.003300
3p	62	C	T	0.006095
3p	62	G	A	0.004670
3p	63	C	T	0.007002
3p	63	G	A	0.004180
3p	64	C	T	0.007862
3p	64	G	A	0.004185
3p	65	C	T	0.005787
3p	65	G	A	0.004143
3p	66	C	T	0.007794
3p	66	G	A	0.005685
3p	67	C	T	0.005825
3p	67	G	A	0.004342
3p	68	C	T	0.006852
3p	68	G	A	0.005104
3p	69	C	T	0.007560
3p	69	G	A	0.004842
3p	70	C	T	0.005533
3p	70	G	A	0.003499
