# Damage profile converted from mapDamage output
# Source: single_stranded/misincorporation.txt
# Format: end position from_base to_base frequency
end	position	from	to	frequency
5p	1	C	T	0.158741
5p	1	G	A	0.005519
5p	2	C	T	0.018333
5p	2	G	A	0.003036
5p	3	C	T	0.014307
5p	3	G	A	0.002734
5p	4	C	T	0.010371
5p	4	G	A	0.002687
5p	5	C	T	0.008675
5p	5	G	A	0.002602
5p	6	C	T	0.007751
5p	6	G	A	0.002442
5p	7	C	T	0.007094
5p	7	G	A	0.002396
5p	8	C	T	0.006652
5p	8	G	A	0.002264
5p	9	C	T	0.006391
5p	9	G	A	0.002269
5p	10	C	T	0.006184
5p	10	G	A	0.002325
5p	11	C	T	0.005843
5p	11	G	A	0.002253
5p	12	C	T	0.005829
5p	12	G	A	0.002297
5p	13	C	T	0.005830
5p	13	G	A	0.002347
5p	14	C	T	0.005790
5p	14	G	A	0.002340
5p	15	C	T	0.005498
5p	15	G	A	0.002228
5p	16	C	T	0.005724
5p	16	G	A	0.002237
5p	17	C	T	0.005635
5p	17	G	A	0.002288
5p	18	C	T	0.005478
5p	18	G	A	0.002233
5p	19	C	T	0.005638
5p	19	G	A	0.002212
5p	20	C	T	0.005726
5p	20	G	A	0.002214
5p	21	C	T	0.005553
5p	21	G	A	0.002300
5p	22	C	T	0.005596
5p	22	G	A	0.002240
5p	23	C	T	0.005799
5p	23	G	A	0.002263
5p	24	C	T	0.006017
5p	24	G	A	0.002381
5p	25	C	T	0.006206
5p	25	G	A	0.002332
5p	26	C	T	0.006509
5p	26	G	A	0.002435
5p	27	C	T	0.006757
5p	27	G	A	0.002921
5p	28	C	T	0.008528
5p	28	G	A	0.003005
5p	29	C	T	0.014996
5p	29	G	A	0.003619
5p	30	C	T	0.025468
5p	30	G	A	0.005284
5p	31	C	T	0.026239
5p	31	G	A	0.005277
5p	32	C	T	0.025919
5p	32	G	A	0.005224
5p	33	C	T	0.026596
5p	33	G	A	0.005109
5p	34	C	T	0.025975
5p	34	G	A	0.005009
5p	35	C	T	0.026603
5p	35	G	A	0.005168
5p	36	C	T	0.026429
5p	36	G	A	0.005087
5p	37	C	T	0.026541
5p	37	G	A	0.005140
5p	38	C	T	0.026598
5p	38	G	A	0.005526
5p	39	C	T	0.025953
5p	39	G	A	0.005824
5p	40	C	T	0.025936
5p	40	G	A	0.005674
5p	41	C	T	0.026215
5p	41	G	A	0.006031
5p	42	C	T	0.025626
5p	42	G	A	0.006122
5p	43	C	T	0.026300
5p	43	G	A	0.006112
5p	44	C	T	0.025328
5p	44	G	A	0.006066
5p	45	C	T	0.024795
5p	45	G	A	0.005963
5p	46	C	T	0.024760
5p	46	G	A	0.006032
5p	47	C	T	0.024446
5p	47	G	A	0.005839
5p	48	C	T	0.024743
5p	48	G	A	0.005711
5p	49	C	T	0.024308
5p	49	G	A	0.006048
5p	50	C	T	0.023002
5p	50	G	A	0.005748
5p	51	C	T	0.023492
5p	51	G	A	0.005911
5p	52	C	T	0.022943
5p	52	G	A	0.006111
5p	53	C	T	0.022079
5p	53	G	A	0.005613
5p	54	C	T	0.022344
5p	54	G	A	0.005562
5p	55	C	T	0.022529
5p	55	G	A	0.005651
5p	56	C	T	0.021800
5p	56	G	A	0.005605
5p	57	C	T	0.022300
5p	57	G	A	0.005459
5p	58	C	T	0.022013
5p	58	G	A	0.006059
5p	59	C	T	0.022583
5p	59	G	A	0.005677
5p	60	C	T	0.021531
5p	60	G	A	0.005896
5p	61	C	T	0.020848
5p	61	G	A	0.005573
5p	62	C	T	0.020281
5p	62	G	A	0.005897
5p	63	C	T	0.020408
5p	63	G	A	0.006420
5p	64	C	T	0.021025
5p	64	G	A	0.006565
5p	65	C	T	0.020202
5p	65	G	A	0.006035
5p	66	C	T	0.020214
5p	66	G	A	0.006891
5p	67	C	T	0.020858
5p	67	G	A	0.005351
5p	68	C	T	0.021030
5p	68	G	A	0.006050
5p	69	C	T	0.022139
5p	69	G	A	0.005877
5p	70	C	T	0.019899
5p	70	G	A	0.006617
3p	1	C	T	0.182724
3p	1	G	A	0.036958
3p	2	C	T	0.108160
3p	2	G	A	0.013882
3p	3	C	T	0.025670
3p	3	G	A	0.008715
3p	4	C	T	0.011495
3p	4	G	A	0.012339
3p	5	C	T	0.010517
3p	5	G	A	0.004504
3p	6	C	T	0.008930
3p	6	G	A	0.003339
3p	7	C	T	0.007836
3p	7	G	A	0.003219
3p	8	C	T	0.007085
3p	8	G	A	0.002896
3p	9	C	T	0.006640
3p	9	G	A	0.002515
3p	10	C	T	0.006378
3p	10	G	A	0.002356
3p	11	C	T	0.006152
3p	11	G	A	0.002371
3p	12	C	T	0.005808
3p	12	G	A	0.002216
3p	13	C	T	0.005599
3p	13	G	A	0.002280
3p	14	C	T	0.005594
3p	14	G	A	0.002125
3p	15	C	T	0.005811
3p	15	G	A	0.002316
3p	16	C	T	0.005566
3p	16	G	A	0.002315
3p	17	C	T	0.005468
3p	17	G	A	0.002319
3p	18	C	T	0.005467
3p	18	G	A	0.002365
3p	19	C	T	0.005499
3p	19	G	A	0.002282
3p	20	C	T	0.005418
3p	20	G	A	0.002373
3p	21	C	T	0.005618
3p	21	G	A	0.002312
3p	22	C	T	0.005680
3p	22	G	A	0.002185
3p	23	C	T	0.005733
3p	23	G	A	0.002296
3p	24	C	T	0.006031
3p	24	G	A	0.002292
3p	25	C	T	0.006077
3p	25	G	A	0.002361
3p	26	C	T	0.006299
3p	26	G	A	0.002281
3p	27	C	T	0.006689
3p	27	G	A	0.002262
3p	28	C	T	0.007019
3p	28	G	A	0.002357
3p	29	C	T	0.008039
3p	29	G	A	0.002448
3p	30	C	T	0.017675
3p	30	G	A	0.002521
3p	31	C	T	0.018065
3p	31	G	A	0.002430
3p	32	C	T	0.018204
3p	32	G	A	0.002403
3p	33	C	T	0.018906
3p	33	G	A	0.002265
3p	34	C	T	0.019046
3p	34	G	A	0.002288
3p	35	C	T	0.019376
3p	35	G	A	0.002248
3p	36	C	T	0.018869
3p	36	G	A	0.002339
3p	37	C	T	0.019181
3p	37	G	A	0.002314
3p	38	C	T	0.019234
3p	38	G	A	0.002225
3p	39	C	T	0.019218
3p	39	G	A	0.002363
3p	40	C	T	0.019073
3p	40	G	A	0.002380
3p	41	C	T	0.019253
3p	41	G	A	0.002245
3p	42	C	T	0.019691
3p	42	G	A	0.002285
3p	43	C	T	0.019252
3p	43	G	A	0.002181
3p	44	C	T	0.018814
3p	44	G	A	0.002317
3p	45	C	T	0.018614
3p	45	G	A	0.002370
3p	46	C	T	0.018406
3p	46	G	A	0.002355
3p	47	C	T	0.018619
3p	47	G	A	0.002211
3p	48	C	T	0.018147
3p	48	G	A	0.002307
3p	49	C	T	0.018571
3p	49	G	A	0.002604
3p	50	C	T	0.018023
3p	50	G	A	0.002297
3p	51	C	T	0.017598
3p	51	G	A	0.002475
3p	52	C	T	0.017830
3p	52	G	A	0.002277
3p	53	C	T	0.017076
3p	53	G	A	0.002249
3p	54	C	T	0.016842
3p	54	G	A	0.002481
3p	55	C	T	0.017179
3p	55	G	A	0.002331
3p	56	C	T	0.016496
3p	56	G	A	0.002426
3p	57	C	T	0.017478
3p	57	G	A	0.002407
3p	58	C	T	0.016862
3p	58	G	A	0.002410
3p	59	C	T	0.016943
3p	59	G	A	0.002405
3p	60	C	T	0.016156
3p	60	G	A	0.002526
3p	61	C	T	0.015872
3p	61	G	A	0.002292
3p	62	C	T	0.016340
3p	62	G	A	0.002308
3p	63	C	T	0.015614
3p	63	G	A	0.002815
3p	64	C	T	0.015472
3p	64	G	A	0.002442
3p	65	C	T	0.016375
3p	65	G	A	0.002636
3p	66	C	T	0.013956
3p	66	G	A	0.002430
3p	67	C	T	0.015167
3p	67	G	A	0.002452
3p	68	C	T	0.015466
3p	68	G	A	0.002455
3p	69	C	T	0.014705
3p	69	G	A	0.002188
3p	70	C	T	0.013951
3p	70	G	A	0.002711
