# table produced by mapDamage version 2.2.1
# using mapped file /home/zhc860/data/Cave_hyena/Mapping/Published_ancient/Ccsp015.rmdup.sort.bam and /home/zhc860/data/References/Crocuta/GWHAZPN00000000.genome_HiC.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	29	15228
+	34	173653
+	60	20870
+	76	104502
+	31	222125
+	35	160759
+	41	103843
+	38	130141
+	42	96358
+	33	188041
+	36	149208
+	47	61168
+	58	24151
+	44	79528
+	30	239106
+	49	52477
+	48	57032
+	52	41090
+	39	120874
+	40	112285
+	37	139826
+	57	25995
+	32	202855
+	46	66826
+	43	87691
+	50	48634
+	59	22529
+	55	30460
+	61	18946
+	65	14006
+	51	44687
+	45	72809
+	56	28281
+	54	33780
+	53	37235
+	64	15026
+	63	16563
+	78	307
+	71	8596
+	67	11744
+	68	10888
+	69	9925
+	28	6549
+	66	12734
+	62	17890
+	70	9289
+	75	1165
+	72	205
+	27	565
+	77	1443
+	74	290
+	80	65
+	79	74
+	73	98
+	81	14
-	54	33832
-	40	112984
-	47	62044
-	33	188579
-	48	57090
-	36	150005
-	32	203579
-	31	221230
-	38	129985
-	30	239301
-	41	104479
-	43	87164
-	34	173324
-	44	79529
-	45	72631
-	39	121412
-	37	140566
-	51	44999
-	57	26011
-	76	104017
-	35	161215
-	60	20664
-	42	95949
-	59	22375
-	29	14970
-	46	67232
-	53	37030
-	61	19068
-	55	30781
-	71	8769
-	52	41279
-	56	28078
-	62	17649
-	50	48358
-	58	24366
-	67	11927
-	65	13981
-	49	52776
-	70	9332
-	28	6599
-	63	16390
-	66	12616
-	69	9914
-	64	15194
-	27	607
-	68	10840
-	75	1101
-	77	1426
-	80	55
-	74	255
-	73	84
-	78	334
-	72	190
-	81	7
-	79	74
